iter	Passed	Remaining
0	215	21376
1	294	14452
2	384	12442
3	475	11402
4	559	10638
5	637	9988
6	724	9622
7	811	9329
8	896	9062
9	997	8981
10	1073	8684
11	1152	8448
12	1213	8123
13	1257	7724
14	1304	7392
15	1349	7085
16	1395	6812
17	1437	6546
18	1485	6330
19	1529	6116
20	1573	5919
21	1617	5736
22	1663	5568
23	1708	5410
24	1751	5254
25	1794	5108
26	1838	4970
27	1885	4847
28	1929	4723
29	1976	4612
30	2022	4501
31	2065	4389
32	2108	4281
33	2153	4180
34	2197	4080
35	2239	3982
36	2285	3891
37	2331	3803
38	2380	3723
39	2433	3649
40	2482	3573
41	2528	3492
42	2573	3411
43	2619	3333
44	2664	3257
45	2707	3178
46	2761	3113
47	2807	3041
48	2849	2966
49	2895	2895
50	2944	2828
51	2987	2757
52	3030	2687
53	3075	2620
54	3125	2557
55	3172	2492
56	3221	2430
57	3268	2366
58	3315	2303
59	3363	2242
60	3413	2182
61	3465	2123
62	3524	2069
63	3570	2008
64	3618	1948
65	3740	1927
66	3825	1884
67	3873	1822
68	3924	1763
69	3974	1703
70	4029	1645
71	4080	1586
72	4130	1527
73	4179	1468
74	4231	1410
75	4281	1352
76	4331	1293
77	4385	1236
78	4434	1178
79	4487	1121
80	4539	1064
81	4597	1009
82	4649	952
83	4699	895
84	4750	838
85	4801	781
86	4853	725
87	4907	669
88	4962	613
89	5018	557
90	5077	502
91	5144	447
92	5204	391
93	5262	335
94	5320	280
95	5376	224
96	5436	168
97	5494	112
98	5553	56
99	5616	0
